Province_Code,2021_TOINC_Median,2021_TOTEX_Median,W_PROV_N,Region_Code,Region_Name,2021_TOINC_Sum,2021_TOTEX_Sum,2018_TOINC_Median,2018_TOTEX_Median,2018_TOINC_Sum,2018_TOTEX_Sum
500500000,196207,160497,Albay,500000000,Region V - Bicol,436757915,317796526,181682,156412,361430832,286609283
501600000,184853,137112,Camarines Norte,500000000,Region V - Bicol,381871785,252333502,158777,148177.5,276032297,233075384
501700000,171190,148474,Camarines Sur,500000000,Region V - Bicol,348063741,279814003,174860,160369,308735013,256211143
502000000,193922.5,161840,Catanduanes,500000000,Region V - Bicol,416352338,315116621,177858,163113.5,346315765,278104889
504100000,149985,116250.5,Masbate,500000000,Region V - Bicol,318425314,228284124,134910,123105,258109756,214598552
506200000,169617,155346,Sorsogon,500000000,Region V - Bicol,351718012,293833225,172889,158241,345368764,292211214
600400000,179171,154343.5,Aklan,600000000,Region VI - Western Visayas,410666358,316743836,189493,173724,391970570,324800824
600600000,175372,127418,Antique,600000000,Region VI - Western Visayas,405931657,270451755,173054,126386,342829924,225773419
601900000,194399.5,175434.5,Capiz,600000000,Region VI - Western Visayas,384173930,322604306,174205,155575,343927521,291952210
603000000,247118,176923,Iloilo,600000000,Region VI - Western Visayas,1148862002,741649521,243579,187367,1039297822,715704692
604500000,204180,168621,Negros Occidental,600000000,Region VI - Western Visayas,855895036,662985901,197273,172185.5,776045290,618268472
607900000,178688,155758,Guimaras,600000000,Region VI - Western Visayas,182564839,153241864,184575.5,162033,190009762,142771001
701200000,170287.5,136001,Bohol,700000000,Region VII - Central Visayas,348749025,257123612,196050.5,143739.5,395983618,270050121
702200000,248294,182220,Cebu,700000000,Region VII - Central Visayas,1912843202,1324479091,255800.5,190202,1708525089,1115084668
704600000,152068,103052,Negros Oriental,700000000,Region VII - Central Visayas,351307620,225469715,163061.5,106058.5,345801983,216094482
706100000,215303,146242,Siquijor,700000000,Region VII - Central Visayas,247045134,154028727,205745,133973.5,222977121,136583939
802600000,153082.5,119557.5,Eastern Samar,800000000,Region VIII - Eastern Visayas,353453175,242663986,134375,124860,277782936,223250411
803700000,180265,166541.5,Leyte,800000000,Region VIII - Eastern Visayas,920555251,722648477,177924,157744,770955217,587938379
804800000,180330,127339.5,Northern Samar,800000000,Region VIII - Eastern Visayas,396241166,260068067,161448,125715,355715271,240836074
806000000,151935,139207,Samar (Western),800000000,Region VIII - Eastern Visayas,333527081,265776499,145279,131958,265401546,221360194
806400000,177700,160580,Southern Leyte,800000000,Region VIII - Eastern Visayas,378446175,308612052,159692,147895,318204793,267861278
807800000,181817.5,150941.5,Biliran,800000000,Region VIII - Eastern Visayas,427498181,313539833,171786.5,160468,355332127,302028206
907200000,141749,103210,Zamboanga del Norte,900000000,Region IX - Zamboanga Peninsula,312230078,219121041,138980,106267,255064771,187808780
907300000,190265,145905,Zamboanga del Sur,900000000,Region IX - Zamboanga Peninsula,790136204,566939154,173559,135211,624875887,453734628
908300000,144908,110516,Zamboanga Sibugay,900000000,Region IX - Zamboanga Peninsula,351418293,230291828,136045.5,106917,307766062,191039947
990100000,181245,129805,Isabela City,900000000,Region IX - Zamboanga Peninsula,152144039,97309994,137800,120200,125004271,97011227
